Name;Class;Vertices;Faces;;Min X;Min Y;Min Z;Max X;Max Y;Max Z; ;Range X;Range Y;Range Z
PSB_Chair;Chair;116;190;;0,025;0,025;0,025;0,727778;0,975;0,727778;;0,702778;0,95;0,702778
m1674;m1674;50;78;;0,025;0,025;0,025;0,596402;0,975;0,0837782;;0,571402;0,95;0,0587782
m1507;m1507;6514;12769;;0,025;0,025;0,025;0,437739;0,213081;0,975;;0,412739;0,188081;0,95
m1506;m1506;4284;7879;;0,025;0,025;0,025;0,562902;0,975;0,277236;;0,537902;0,95;0,252236
m1505;m1505;10969;21007;;0,025;0,025;0,025;0,391308;0,210469;0,975;;0,366308;0,185469;0,95
m1504;m1504;1621;3269;;0,025;0,025;0,025;0,450467;0,212706;0,975;;0,425467;0,187706;0,95
m1503;m1503;24786;50685;;0,025;0,025;0,025;0,975;0,216294;0,201974;;0,95;0,191294;0,176974
m1167;m1167;2838;3992;;0,025;0,025;0,025;0,697772;0,283484;0,975;;0,672772;0,258484;0,95
m1166;m1166;349;772;;0,025;0,025;0,025;0,871807;0,252024;0,975;;0,846807;0,227024;0,95
m1165;m1165;448;768;;0,025;0,025;0,025;0,975;0,794583;0,271841;;0,95;0,769583;0,246841
m1164;m1164;272;620;;0,025;0,025;0,025;0,886786;0,255714;0,975;;0,861786;0,230714;0,95
m1163;m1163;1014;2778;;0,025;0,025;0,025;0,931034;0,302749;0,975;;0,9060341;0,277749;0,95
m1162;m1162;2960;5706;;0,025;0,025;0,025;0,830816;0,975;0,273857;;0,805816;0,95;0,248857
m1161;m1161;1486;1692;;0,025;0,025;0,025;0,931591;0,32614;0,975;;0,906591;0,30114;0,95
m1160;m1160;13575;24430;;0,025;0,025;0,025;0,975;0,236105;0,690686;;0,95;0,211105;0,665686
m1159;m1159;3726;6881;;0,025;0,025;0,025;0,922454;0,41384;0,975;;0,897454;0,38884;0,95
m1158;m1158;336;608;;0,025;0,025;0,025;0,908575;0,453995;0,975;;0,883575;0,428995;0,95
m1157;m1157;1264;2088;;0,025;0,025;0,025;0,975;0,70371;0,185832;;0,95;0,67871;0,160832
m1156;m1156;1335;2472;;0,025;0,025;0,025;0,975;0,21293;0,832103;;0,95;0,18793;0,807103
m1155;m1155;3680;5798;;0,025;0,025;0,025;0,816625;0,228519;0,975;;0,791625;0,203519;0,95
m1154;m1154;520;1000;;0,025;0,025;0,025;0,849758;0,284141;0,975;;0,8247581;0,259141;0,95
m1153;m1153;743;1478;;0,025;0,025;0,025;0,79127;0,364467;0,975;;0,76627;0,339467;0,95
m1152;m1152;3726;6881;;0,025;0,025;0,025;0,922454;0,41384;0,975;;0,897454;0,38884;0,95
m1151;m1151;858;1660;;0,025;0,025;0,025;0,975;0,267357;0,949829;;0,95;0,242357;0,924829
m1150;m1150;622;1228;;0,025;0,025;0,025;0,743256;0,201238;0,975;;0,718256;0,176238;0,95
m1149;m1149;3003;5874;;0,025;0,025;0,025;0,975;0,305634;0,769297;;0,95;0,280634;0,744297
m1148;m1148;6233;11365;;0,025;0,025;0,025;0,900516;0,287476;0,975;;0,875516;0,262476;0,95
m1147;m1147;1149;2320;;0,025;0,025;0,025;0,975;0,33131;0,884672;;0,95;0,30631;0,859672
m1146;m1146;1700;3016;;0,025;0,025;0,025;0,88836;0,32216;0,975;;0,86336;0,29716;0,95
m1145;m1145;37637;73748;;0,025;0,025;0,025;0,723003;0,278512;0,975;;0,698003;0,253512;0,95
m1144;m1144;3627;6736;;0,025;0,025;0,025;0,975;0,716901;0,291304;;0,95;0,691901;0,266304
m1143;m1143;3336;6574;;0,025;0,025;0,025;0,504495;0,975;0,209713;;0,479495;0,95;0,184713
m1142;m1142;1322;2498;;0,025;0,025;0,025;0,975;0,22184;0,517098;;0,95;0,19684;0,492098
m1141;m1141;11819;23138;;0,025;0,025;0,025;0,975;0,310844;0,62003;;0,95;0,285844;0,59503
m1140;m1140;13908;27087;;0,025;0,025;0,025;0,975;0,388267;0,84721;;0,95;0,363267;0,82221
m1139;m1139;2920;4234;;0,025;0,025;0,025;0,647434;0,975;0,274384;;0,622434;0,95;0,249384
m1138;m1138;2050;3586;;0,0524947;0,025;0,025;0,975;0,907034;0,377887;;0,9225053;0,882034;0,352887
m1137;m1137;408;524;;0,025;0,025;0,025;0,461983;0,975;0,199618;;0,436983;0,95;0,174618
m1136;m1136;904;1628;;0,025;0,025;0,025;0,559108;0,975;0,233333;;0,534108;0,95;0,208333
m1135;m1135;264;360;;0,025;0,025;0,025;0,545907;0,975;0,181047;;0,520907;0,95;0,156047
m1134;m1134;338;512;;0,025;0,025;0,025;0,542388;0,975;0,1732;;0,517388;0,95;0,1482
m1133;m1133;624;1024;;0,025;0,025;0,025;0,769747;0,975;0,311217;;0,744747;0,95;0,286217
m1132;m1132;882;1428;;0,025;0,025;0,025;0,7227;0,975;0,209765;;0,6977;0,95;0,184765
m1131;m1131;482;768;;0,025;0,025;0,025;0,705618;0,975;0,196732;;0,680618;0,95;0,171732
m1130;m1130;2303;4520;;0,025;0,025;0,025;0,975;0,459182;0,800606;;0,95;0,434182;0,775606
m1129;m1129;3351;6272;;0,025;0,025;0,025;0,975;0,346551;0,699508;;0,95;0,321551;0,674508
m1128;m1128;718;1232;;0,025;0,025;0,025;0,975;0,967087;0,241951;;0,95;0,942087;0,216951
m1127;m1127;354;520;;0,025;0,025;0,025;0,811053;0,975;0,219704;;0,786053;0,95;0,194704
m1126;m1126;770;1316;;0,025;0,025;0,025;0,788134;0,975;0,236106;;0,763134;0,95;0,211106
m1125;m1125;434;656;;0,025;0,025;0,025;0,799082;0,975;0,274375;;0,774082;0,95;0,249375
m1124;m1124;390;572;;0,025;0,025;0,025;0,633082;0,975;0,240746;;0,608082;0,95;0,215746
m1123;m1123;1015;1756;;0,025;0,025;0,025;0,697675;0,975;0,318427;;0,672675;0,95;0,293427
m1122;m1122;6704;11577;;0,025;0,025;0,025;0,93572;0,975;0,304519;;0,9107201;0,95;0,279519
m1121;m1121;1062;1913;;0,025;0,025;0,025;0,792248;0,975;0,328749;;0,767248;0,95;0,303749
m1120;m1120;65722;129881;;0,025;0,025;0,025;0,975;0,370037;0,889139;;0,95;0,345037;0,864139
m1119;m1119;863;1550;;0,025;0,025;0,025;0,975;0,379325;0,815271;;0,95;0,354325;0,790271
m1118;m1118;10676;20408;;0,025;0,025;0,025;0,975;0,231623;0,526884;;0,95;0,206623;0,501884
