MeshName,Name,Class,Vertices,Faces,,Min X,Min Y,Min Z,Max X,Max Y,Max Z," ",Range X,Range Y,Range Z,Volume
LDB_12,LDB_12,human,5250,10496,,-1,-0.9222174,-0.1423692,0.9999999,0.956355,0.2653494,,2,1.878572,0.4077186,1.531858
PSB_1232,PSB_1232,winged vehicle aircraft,5250,10186,,-0.7329727,-1,-0.2761125,1,0.7072537,0.1348923,,1.732973,1.707254,0.4110048,1.216009
PSB_1453,PSB_1453,sea vessel,5250,10383,,-1,-0.4351426,-0.2511718,1,0.9643271,0.6179028,,2,1.39947,0.8690746,2.432487
PSB_1496,PSB_1496,car vehicle,5250,10431,,-1,-0.3453709,-0.3642406,1,0.3896958,0.3406727,,2,0.7350667,0.7049133,1.036317
PSB_1074,PSB_1074,plant,5250,5250,,-1,-0.914851,-0.720906,0.9999999,0.9603269,0.6268867,,2,1.875178,1.347793,5.054702
PSB_1191,PSB_1191,winged vehicle aircraft,5250,10291,,-0.751916,-1,-0.1627057,1,0.9252042,0.1430801,,1.751916,1.925204,0.3057858,1.031353
PSB_1169,PSB_1169,winged vehicle aircraft,5250,8795,,-1,-0.8004461,-0.5140067,1,0.5498002,0.09038329,,2,1.350246,0.60439,1.632151
PSB_1243,PSB_1243,winged vehicle aircraft,5250,9984,,-1,-0.8163537,-0.4443188,1,0.5541226,0.002897739,,2,1.370476,0.4472165,1.225799
PSB_1286,PSB_1286,winged vehicle aircraft,5250,9627,,-0.4862224,-1,-0.06503451,0.727955,1,0.1328393,,1.214177,2,0.1978738,0.4805078
PSB_963,PSB_963,plant,5250,7042,,-0.9680923,-1,-0.5236626,0.9609344,1,0.727861,,1.929027,2,1.251524,4.828445
PSB_863,PSB_863,shelves furniture,5250,9736,,-1,-0.6036323,-0.1603887,1,0.6187913,0.291031,,2,1.222424,0.4514197,1.103652
PSB_563,PSB_563,display device,5250,10049,,-1,-0.9088839,-0.7622141,1,0.9268688,0.9231639,,2,1.835753,1.685378,6.187875
PSB_463,PSB_463,building,5250,10111,,-1,-0.8660946,-0.6640947,1,0.7258717,0.4901036,,2,1.591966,1.154198,3.67489
PSB_763,PSB_763,table furniture,5250,10040,,-1,-0.9820149,-0.5598764,0.9918391,1,0.679795,,1.991839,1.982015,1.239671,4.894043
